2
Canada 3 2 1
USA 1 2 3
2
Canada 4 3 2
USA 3 2 1
2
Canada 1 2 3
USA 2 3 4
2
Canada 1 1 1
USA 1 1 2
3
Canada 2 2 2
USA 4 2 1
Germany 1 2 4
15
France 0 1 0
Italy 1 0 0
Sweden 1 2 3
Norway 3 2 1
Russia 2 0 2
Brazil 1 2 1
China 3 6 1
Australia 0 0 2
Japan 2 0 1
Germany 1 1 0
Denmark 0 2 1
Mexico 1 0 1
Canada 0 1 1
USA 1 1 0
Chile 0 2 0
15
France 0 1 0
Italy 1 0 0
Sweden 1 2 3
Norway 3 2 1
Russia 2 0 2
Brazil 1 2 1
China 3 6 1
Australia 0 0 2
Japan 2 0 1
Germany 1 1 0
Denmark 0 2 1
Mexico 1 0 1
Canada 0 3 3
USA 1 1 0
Chile 0 2 0
3
Canada 0 0 0
Iceland 1 0 1
Liechtenstein 0 1 0
4
Argentina 1 3 0
Canada 0 2 2
Chile 1 0 3
Kenia 1 2 1
1
USA 5 5 5 
2
USA 5 5 5 
ZSRR 10 10 10
0
